伙伴名称,归属销售,周期起始日期,周期结束日期,本周新签客户数,本周回款金额,本周有效商机数,周活跃度,上周新签客户数,上周回款金额,上周有效商机数,上周活跃度,月度KPI目标新签,月度KPI目标回款(元),季度KPI目标新签,季度KPI目标回款(元),累计新签,累计回款(元)
伙伴A科技公司,张三,2026-05-15,2026-05-22,7,185000,10,非常活跃,5,160000,8,活跃,20,600000,60,1800000,23,665000
伙伴B信息技术,李四,2026-05-15,2026-05-22,0,0,0,不活跃,0,0,1,不活跃,15,450000,45,1350000,0,0
伙伴C软件公司,王五,2026-05-15,2026-05-22,0,0,0,不活跃,3,48000,4,活跃,18,540000,54,1620000,10,153000
伙伴D网络科技,赵六,2026-05-15,2026-05-22,10,290000,14,非常活跃,7,240000,11,活跃,25,750000,75,2250000,34,1050000
伙伴E数据服务,张三,2026-05-15,2026-05-22,0,0,0,不活跃,0,5000,1,不活跃,16,480000,48,1440000,4,65000
伙伴F云计算,李四,2026-05-15,2026-05-22,3,35000,4,活跃,0,0,1,一般,16,480000,48,1440000,8,103000
伙伴G人工智能,王五,2026-05-15,2026-05-22,0,0,0,不活跃,0,0,0,不活跃,20,600000,60,1800000,0,5000
伙伴H企业服务,赵六,2026-05-15,2026-05-22,12,360000,18,非常活跃,9,310000,14,活跃,30,900000,90,2700000,42,1330000
伙伴I信息安全,张三,2026-05-15,2026-05-22,0,0,0,不活跃,4,75000,5,活跃,18,540000,54,1620000,9,170000
伙伴J物联网,李四,2026-05-15,2026-05-22,0,0,0,不活跃,0,0,0,不活跃,14,420000,42,1260000,0,0
伙伴K智能硬件,王五,2026-05-15,2026-05-22,3,55000,5,活跃,1,20000,3,一般,15,450000,45,1350000,4,80000
伙伴L大数据平台,赵六,2026-05-15,2026-05-22,8,220000,11,非常活跃,6,190000,9,活跃,22,660000,66,1980000,27,790000
伙伴M移动开发团队,张三,2026-05-15,2026-05-22,0,0,0,不活跃,0,0,1,不活跃,18,540000,54,1620000,6,70000
伙伴N数字营销,李四,2026-05-15,2026-05-22,6,135000,8,非常活跃,5,115000,6,活跃,20,600000,60,1800000,20,485000
伙伴O系统集成,王五,2026-05-15,2026-05-22,4,65000,6,活跃,2,30000,4,活跃,16,480000,48,1440000,6,107000
伙伴P新媒体,赵六,2026-05-15,2026-05-22,0,0,0,不活跃,0,0,0,不活跃,14,420000,42,1260000,3,45000
伙伴Q教育科技,张三,2026-05-15,2026-05-22,0,0,0,不活跃,0,0,0,不活跃,12,360000,36,1080000,0,0
伙伴R金融科技,李四,2026-05-15,2026-05-22,5,80000,7,活跃,2,35000,3,一般,18,540000,54,1620000,8,130000
伙伴S电商服务,王五,2026-05-15,2026-05-22,0,0,2,一般,0,0,0,不活跃,16,480000,48,1440000,5,60000
伙伴T物流科技,赵六,2026-05-15,2026-05-22,0,0,0,不活跃,3,40000,4,活跃,20,600000,60,1800000,12,170000
